"","tsGroup","year"
"558","G11141-A",10
"559","G11143-A",5
"560","G11143-B",17
"561","G11144-A",16
"562","G11145-A",11
"563","G11146-A",10
"564","G11147-A",5
"565","G11148-A",23
"566","G11150-A",10
"567","G11154-A",7
"568","G11154-B",5
"569","G11158-A",32
"570","G11159-A",15
"571","G11160-A",15
"572","G11162-A",20
"573","G11165-A",20
"574","G11166-A",15
"575","G11171-A",32
"576","G11175-A",18
"577","G11176-A",6
"578","G11178-A",23
"579","G11181-A",5
"580","G11184-A",20
"581","G11186-A",16
"582","G11187-A",6
"583","G11192-A",13
"584","G11194-A",7
"585","G11196-A",23
"586","G11197-A",5
"587","G11198-A",10
"588","G11201-A",7
"589","G11203-A",5
"590","G11204-A",16
"591","G11208-A",5
"592","G11209-A",10
"593","G11211-A",5
"594","G11212-A",23
"595","G11213-A",23
"596","G11216-A",13
"597","G11218-A",27
"598","G11219-A",10
"599","G11220-A",16
"600","G11223-A",27
"601","G11225-A",9
"602","G11225-B",6
"603","G11226-A",6
"604","G11227-A",14
"605","G11230-A",7
"606","G11233-A",14
"607","G11234-A",7
"608","G11235-A",9
"609","G11237-A",5
"610","G11237-B",6
"611","G11237-C",5
"612","G11238-A",22
"613","G11239-A",16
"614","G11239-B",5
"615","G11242-A",7
"616","G11243-A",22
"617","G11252-A",7
"618","G11253-A",8
"619","G11253-B",8
"620","G11256-A",6
"621","G11257-A",14
"622","G11258-A",5
"623","G11258-B",5
"624","G11258-C",6
"625","G11260-A",9
"626","G11262-A",16
"627","G11263-A",14
"628","G11264-A",14
"629","G11265-A",22
"630","G11267-A",5
"631","G11268-A",16
"632","G11271-A",5
"633","G11273-A",9
"634","G11273-B",6
"635","G11275-A",10
"636","G11275-B",16
"637","G11279-A",7
"638","G11281-A",9
"639","G11282-A",9
"640","G11283-A",8
"641","G11288-A",6
"642","G11295-A",10
"643","G11299-A",10
"644","G11300-A",5
"645","G11301-A",5
"646","G11302-A",28
"647","G11306-A",6
"648","G11308-A",16
"649","G11309-A",20
"650","G11310-A",19
"651","G11311-A",21
"652","G11311-B",5
"653","G11312-A",19
"654","G11314-A",21
"655","G11315-A",23
"656","G11320-A",6
"657","G11323-A",5
"658","G11323-B",5
"659","G11326-A",7
"660","G11326-B",5
"661","G11326-C",7
"662","G11327-A",8
"663","G11330-A",8
"664","G11330-B",17
"665","G11333-A",7
"666","G11334-A",6
"667","G11334-B",15
"668","G11335-A",13
"669","G11341-A",6
"670","G11346-A",6
"671","G11347-A",12
"672","G11347-B",16
"673","G11348-A",12
"674","G11348-B",6
"675","G11352-A",17
"676","G11352-B",9
"677","G11354-A",27
"678","G11356-A",20
"679","G11358-A",5
"680","G11359-A",10
"681","G11360-A",7
"682","G11363-A",5
"683","G11364-A",6
"684","G11364-B",10
"685","G11366-A",7
"686","G11367-A",10
"687","G11367-B",6
"688","G11368-A",13
"689","G11370-A",11
"690","G11372-A",10
"691","G11373-A",13
"692","G11373-B",8
"693","G11374-A",10
"694","G11374-B",7
"695","G11375-A",8
"696","G11375-B",7
"697","G11375-C",6
"698","G11376-A",6
"699","G11376-B",6
"700","G11377-A",7
"701","G11378-A",6
"702","G11379-A",6
"703","G11381-A",6
"704","G11383-A",5
"705","G11386-A",7
"706","G11386-B",10
"707","G11389-A",12
"708","G11390-A",11
"709","G11394-A",15
"710","G11396-A",16
"711","G11397-A",7
"712","G11398-A",16
"713","G11402-A",10
"714","G11405-A",7
"715","G11411-A",19
"716","G11412-A",5
"717","G11414-A",18
"718","G11415-A",19
"719","G11419-A",12
"720","G11421-A",10
"721","G11422-A",11
"722","G11429-A",5
"723","G11429-B",13
"724","G11430-A",6
"725","G11431-A",5
"726","G11433-A",7
"727","G11434-A",6
"728","G11440-A",9
"729","G11440-B",5
"730","G11442-A",11
"731","G11446-A",6
"732","G11454-A",8
"733","G11458-A",14
"734","G11464-A",12
"735","G11464-B",7
"736","G11465-A",8
"737","G11465-B",7
"738","G11469-A",9
"739","G11469-B",7
"740","G11470-A",6
"741","G11472-A",22
"742","G11473-A",39
"743","G11476-A",12
"744","G11476-B",6
"745","G11478-A",23
"746","G11479-A",24
"747","G11480-A",24
"748","G11483-A",5
"749","G11486-A",7
"750","G11487-A",6
"751","G11488-A",17
"752","G11489-A",10
"753","G11490-A",9
"754","G11490-B",7
"755","G11496-A",5
"756","G11497-A",5
"757","G11497-B",10
"758","G11497-C",7
"759","G11498-A",10
"760","G11499-A",5
"761","G11499-B",5
"762","G11499-C",6
"763","G11501-A",10
"764","G11502-A",14
"765","G11502-B",7
"766","G11503-A",5
"767","G11503-B",14
"768","G11504-A",16
"769","G11508-A",7
"770","G11509-A",15
"771","G11510-A",14
"772","G11511-A",6
"773","G11516-A",11
"774","G11518-A",5
"775","G11518-B",5
"776","G11524-A",7
"777","G11525-A",17
"778","G11527-A",5
"779","G11528-A",5
"780","G11529-A",7
"781","G11529-B",6
"782","G11530-A",17
"783","G11531-A",5
"784","G11532-A",14
"785","G11535-A",6
"786","G11541-A",17
"787","G11544-A",9
"788","G11545-A",9
"789","G11546-A",17
"790","G11547-A",11
"791","G11550-A",17
"792","G11552-A",20
"793","G11553-A",20
"794","G11555-A",11
"795","G11556-A",18
"796","G11557-A",11
"797","G11559-A",8
"798","G11560-A",18
"799","G11566-A",7
"800","G11567-A",20
"801","G11569-A",18
"802","G11570-A",7
"803","G11576-A",17
"804","G11577-A",17
"805","G11578-A",8
"806","G11581-A",17
"807","G11587-A",9
"808","G11598-A",19
"809","G11642-A",9
"810","G11662-A",5
"811","G11669-A",8
"812","G11669-B",7
"813","G11678-A",18
"814","G11680-A",19
"815","G11684-A",18
"816","G11703-A",7
"817","G11707-A",9
"818","G11714-A",17
"819","G11716-A",12
"820","G11717-A",17
"821","G11719-A",14
"822","G11719-B",11
"823","G11746-A",19
"824","G11750-A",10
"825","G11751-A",5
"826","G11755-A",6
"827","G11758-A",17
"828","G11760-A",6
"829","G11762-A",17
"830","G11763-A",16
"831","G11794-A",6
"832","G11806-A",12
"833","G11806-B",6
"834","G11817-A",5
"835","G11825-A",10
"836","G11828-A",6
"837","G11828-B",12
"838","G11828-C",7
"839","G11830-A",6
"840","G11836-A",8
"841","G11839-A",9
"842","G11842-A",6
"843","G11842-B",18
"844","G11843-A",15
"845","G11843-B",6
